"productoraid","pelicula_id","personajeid"
86,48,888
87,49,896
88,49,897
89,50,934
90,50,34
91,51,939
92,51,241
93,52,958
94,53,976
95,54,990
96,55,896
97,56,1014
98,56,1015
101,59,897
102,60,1068
103,61,1082
104,62,896
105,63,1120
106,63,1068
107,64,1138
109,66,1172
110,66,1173
118,70,1138
119,70,1246
121,64,1277
122,64,1278
126,75,1294
127,75,1314
146,90,710
152,94,1605
173,108,1821
174,108,1822
183,70,1415
184,114,329
200,123,2031
201,125,1068
202,125,2052
203,125,176
204,126,2058
205,127,2085
206,127,976
207,127,2086
208,128,2094
209,128,1259
212,130,2115
213,130,348
215,132,1120
220,135,2183
221,136,2200
222,136,2201
223,136,1329
224,136,1415
229,139,2242
230,139,2243
231,140,846
232,140,847
233,140,2268
234,141,896
235,141,2277
237,144,2287
238,145,2303
239,147,497
240,147,2354
241,147,2355
242,147,2356
243,147,34
244,148,2378
245,148,1417
246,148,2379
247,148,1415
248,149,2395
250,152,1141
251,152,2418
252,152,976
253,152,1277
255,154,2441
258,157,2482
350,242,1416
354,244,1141
355,244,976
356,244,391
357,244,3334
370,253,1554
371,253,3401
384,274,3559
396,289,3678
397,289,3679
405,262,3750
406,297,3761
408,299,3787
409,299,1578
433,321,3393
434,321,1415
435,321,3876
436,321,3877
437,321,3878
441,324,3902
455,339,7907
458,343,2200
459,344,3968
460,345,3973
461,345,3974
466,358,3991
467,358,3992
632,603,4464
633,603,4497
658,635,976
659,635,1277
665,641,497
736,731,5785
737,731,5786
792,778,896
793,779,1294
809,849,6098
813,786,6142
814,786,6143
815,786,6144
823,870,896
837,890,2031
839,890,3393
840,890,146
875,949,390
918,635,6609
919,635,6610
920,297,6609
942,1050,6731
943,1050,6732
964,1098,6802
965,1098,6803
966,778,6818
967,778,6819
985,1170,6973
986,1171,6980
994,1205,7130
995,1205,5661
996,1205,6609
1012,753,7368
1013,1261,1014
1014,1261,7378
1015,1261,7379
1016,1261,7380
1017,1261,146
1058,1390,7726
1059,245,976
1060,245,2085
1061,1391,896
1062,1392,3678
1063,792,86
1064,792,497
1065,792,7734
1066,792,7735
1067,785,2200
1068,781,7739
1069,781,1224
1071,1393,7741
1073,1393,7742
1075,1395,4232
1126,787,8081
1127,787,8082
1154,1551,497
1169,1378,976
1170,1378,8492
1171,1378,8493
1172,1378,8494
1179,1179,6997
1180,1179,6609
1189,1379,497
1190,1379,8649
1200,1380,896
1216,1770,9145
1232,1837,9379
1233,1846,9432
1273,2013,4298
1274,2013,1223
1275,2013,10013
1282,2037,8649
1283,2037,10089
1284,2037,1054
1285,2037,10090
1286,2037,10091
1288,791,5887
1291,2053,1294
1292,2053,2462
1303,1982,896
1319,1382,10330
1320,1382,10331
1321,2108,10334
1322,2109,10347
1336,2156,10509
1339,2094,896
1342,2168,976
1343,2168,1416
1344,2168,10540
1345,2168,10541
1346,2168,10542
1347,2169,1578
1350,780,1578
1351,1667,1578
1352,137,1578
1361,2218,896
1362,2218,897
1365,2221,10714
1381,2273,10877
1393,2254,6199
1394,2254,11055
1411,2381,896
1412,1386,764
1413,1386,11207
1414,1386,976
1415,2377,896
1422,1377,2441
1425,2421,4232
1435,1377,11444
1436,1377,11445
1437,1377,11446
1438,1192,4232
1439,1192,11457
1440,1192,11458
1443,2475,976
1448,2483,11513
1498,2520,896
1515,2562,11686
1516,2563,1415
1517,2563,11691
1518,2564,11701
1519,2566,10330
1522,2588,896
1529,2211,11875
1561,2704,12165
1562,2704,12166
1583,2738,12322
1584,2740,12327
1585,2740,816
1588,2744,12332
1590,2403,12364
1591,2403,12365
1592,2760,10334
1609,2781,1138
1611,2785,12486
1612,2788,1294
1613,2788,6098
1617,2637,10877
1618,1769,10877
1619,1717,10877
1629,2827,896
1633,2836,976
1634,2836,8492
1635,2837,1223
1636,2837,12618
1637,2837,12365
1641,2851,12663
1655,2869,12746
1656,2870,8499
1657,2870,12750
1665,2853,1333
1666,2853,12828
1685,3000,13079
1689,3009,13126
1690,3009,13127
1691,3009,34
1692,3009,6746
1695,3014,2535
1696,3014,13143
1697,3014,3894
1698,3014,6142
1737,3061,2200
1738,3061,13264
1739,3061,13265
1771,3011,896
1772,3079,1294
1773,3079,13315
1774,3079,13316
1775,3079,13317
1781,3085,10763
1790,3100,10330
1803,3120,13522
1804,3120,13523
1806,3123,13536
1807,3124,13540
1809,3126,13544
1820,3150,896
1821,3150,13643
1822,3150,13644
1823,3150,1224
1832,3164,7741
1833,3164,764
1852,3203,1578
1892,2899,14305
1897,3316,3750
1899,3321,896
1900,3321,13643
1901,3321,14369
1902,3321,14370
1903,3321,14371
1934,1753,14617
1936,3316,14619
1937,3316,14620
1962,3428,4099
1995,2900,15053
