"guionid","pelicula_id","personajeid"
78,48,869
79,48,870
80,49,432
81,49,431
82,49,889
83,50,320
84,50,912
85,51,935
86,51,787
87,52,946
88,52,947
89,53,727
90,54,981
91,54,982
92,55,997
93,55,998
94,56,1007
99,59,432
100,59,1062
101,60,280
102,61,1074
103,61,1075
104,62,431
105,62,1001
106,62,1095
107,63,1106
108,64,1133
112,66,393
119,70,1133
120,70,1243
128,75,1134
161,90,699
163,90,1525
170,94,1124
171,94,1125
198,108,144
215,114,912
216,114,320
229,123,2018
230,123,998
231,123,2019
232,123,2020
235,125,280
236,126,2063
237,127,2074
238,128,127
240,130,2112
241,130,1469
243,132,1106
246,135,430
247,135,477
248,137,658
251,139,1584
252,139,1312
253,140,73
254,140,33
255,141,1001
256,141,950
257,141,431
261,144,92
262,145,1513
264,147,1514
265,147,755
266,147,487
267,148,2383
268,148,2384
269,148,2385
270,149,2394
271,150,2401
274,152,2414
275,152,2415
276,152,2416
277,152,698
279,154,2436
282,157,2469
407,242,1407
411,244,2416
412,244,1407
413,245,3352
421,253,1134
422,253,1135
436,262,3458
437,262,3459
438,262,1973
452,274,3551
469,289,3669
470,289,3677
485,297,3751
492,299,3774
521,321,3875
525,324,3899
526,324,2414
527,324,1788
547,339,2074
555,343,2198
556,343,2199
557,344,1059
558,344,3416
559,345,2385
574,358,3990
579,361,4026
580,361,778
633,396,4196
634,397,4199
635,397,4200
636,397,600
637,397,4101
729,482,354
865,603,4457
891,635,5172
892,635,4293
1012,731,5783
1013,731,5784
1014,731,1513
1047,778,1001
1048,778,431
1049,779,1312
1050,779,1134
1051,780,658
1052,781,997
1053,781,998
1054,782,1062
1055,787,5912
1056,789,1059
1058,791,3688
1091,849,788
1092,849,6083
1098,786,3272
1106,870,6166
1107,870,4150
1130,888,6250
1131,890,1891
1141,898,6292
1142,898,2112
1174,949,1870
1222,890,3857
1248,1050,6727
1283,1098,1829
1321,1170,3686
1322,1170,6968
1323,1170,6969
1324,1171,6974
1326,1176,4093
1327,1176,6277
1343,1200,7073
1347,1205,2424
1373,783,778
1392,753,2550
1393,1261,1007
1465,1344,3875
1493,1378,2416
1494,1382,7565
1502,1390,7724
1503,1391,7731
1504,1391,5173
1505,1392,3669
1506,1392,3677
1507,792,85
1508,785,2199
1509,785,2198
1510,1393,3458
1513,1395,4247
1533,1429,7824
1591,1497,2074
1597,787,5911
1629,1551,2614
1630,1551,8247
1688,1179,1432
1710,1664,3461
1711,1664,1973
1713,1379,487
1714,1379,1515
1715,1379,8472
1716,1379,755
1717,1667,658
1741,1690,7824
1760,1380,1243
1767,1709,33
1768,1709,8856
1770,1667,4028
1779,1717,6699
1807,1753,5177
1808,1753,6037
1828,1769,1135
1829,1769,9134
1830,1770,9140
1831,1770,1876
1854,1496,3352
1876,1811,3990
1877,1811,9271
1897,1837,9381
1905,1846,9430
1906,1846,9431
2044,1982,6166
2046,1982,998
2056,1991,1289
2081,2013,4289
2084,1982,10015
2085,1982,889
2086,1982,9877
2096,2037,10082
2097,2037,10083
2098,2037,10084
2099,2038,926
2107,1395,3458
2114,2048,127
2120,2053,2460
2121,2054,5176
2143,2080,320
2161,2094,998
2176,2108,5573
2177,2109,10339
2203,2134,3870
2217,2156,1880
2229,2168,1407
2231,2172,10562
2232,2172,10563
2233,2172,5654
2266,2218,2018
2273,2221,10712
2274,2221,10713
2276,1386,724
2310,2242,3980
2311,2242,4198
2312,2243,1106
2324,2254,1847
2325,2254,7074
2326,2254,1948
2340,2273,1658
2341,2273,7287
2342,2273,1666
2348,2080,912
2358,2292,5912
2359,2292,8086
2397,2335,11060
2398,2335,1488
2401,2340,11071
2422,2377,1243
2423,2377,1133
2427,2381,997
2455,1377,2436
2456,1377,586
2457,2403,3551
2467,2421,11351
2489,1192,4196
2493,2475,3669
2494,2475,1134
2506,2483,3732
2507,2483,998
2979,3060,4143
2978,3060,3899
2519,2520,11591
2520,2520,7036
2525,2524,1244
2526,2524,2053
2552,2562,431
2553,2563,11689
2554,2564,11700
2555,2564,2063
2558,2566,878
2573,2580,11761
2574,2580,11760
2583,2588,889
2594,2603,7583
2596,2604,658
2597,2604,4028
2598,2169,658
2599,2169,4028
2604,2607,9268
2605,2607,9591
2606,2607,11837
2609,2609,5169
2610,2609,8705
2621,2211,8650
2635,2647,11941
2636,2647,11942
2637,2637,5677
2638,2637,11951
2662,2678,12031
2663,2678,12024
2664,2678,12032
2683,2704,10687
2684,2704,1062
2685,2706,5912
2686,2706,8086
2694,2715,3352
2711,2738,10384
2712,2740,812
2714,2741,4247
2715,2741,4293
2716,2741,4373
2720,2744,431
2738,2781,1133
2740,2785,12487
2741,2787,912
2742,2788,788
2745,2347,1618
2746,2347,3572
2762,2827,7036
2771,2833,393
2774,2835,11592
2775,2835,2020
2776,2835,658
2777,2835,6717
2778,2836,2416
2779,2837,9169
2780,2837,6311
2781,2836,2019
2793,2851,12662
2794,2851,12720
2796,2853,144
2802,2861,12700
2812,2869,1059
2813,2870,7812
2816,2876,4289
2817,2876,1028
2818,2876,12759
2819,2877,12764
2829,2885,1106
2830,2885,9466
2831,2885,12796
2832,2885,6717
2846,2897,4198
2849,2899,9020
2850,2900,4247
2871,2914,4028
2874,2916,12955
2875,2916,3494
2876,2916,1775
2905,3000,4173
2906,3000,12877
2914,2562,13125
2915,3009,2424
2916,3009,1407
2917,3009,2018
2921,3010,3686
2923,3011,8472
2924,3011,13129
2928,3014,3272
2929,3011,1001
2934,3021,13157
2935,3021,4198
2936,3021,13158
2937,3021,5564
2938,3022,12700
2968,3048,598
2980,3060,1788
2998,3079,1134
2999,3079,1312
3009,3085,4234
3010,3085,13352
3027,3100,7565
3028,3100,13430
3042,3120,13524
3047,3123,1025
3048,3123,729
3049,3123,1026
3050,3124,13538
3051,3124,13539
3053,3126,6780
3054,3126,2408
3076,3150,997
3096,3164,3458
3100,3169,12513
3101,3169,13736
3102,3172,4028
3103,3172,658
3104,3172,10567
3134,3203,658
3135,3203,6717
3206,2785,2019
3231,3309,14301
3239,3316,1973
3243,3321,8472
3308,3419,4051
3317,3428,4101
3318,3428,2469
3319,3428,14831
3353,3458,9814
3474,3582,15460
