"jefedeproduccionid","pelicula_id","personajeid"
6,48,877
7,49,901
9,70,1250
14,75,1044
18,61,1085
20,108,1829
21,123,2036
22,130,969
23,141,901
24,147,1250
25,148,2389
26,157,1250
43,244,969
47,253,3402
49,262,3461
50,297,3755
57,321,1875
65,635,4374
73,780,5901
74,788,5921
87,949,327
93,1050,6729
97,778,901
106,1176,6278
110,783,7268
116,782,5854
155,1179,3884
157,1379,901
160,1690,8317
162,1380,8820
163,1497,8867
164,1667,1588
167,1393,1420
173,1837,9388
176,1391,901
177,870,9655
186,2013,78
187,1982,1250
190,2037,10083
192,2048,10138
195,2054,1317
196,2054,5176
197,2108,10333
198,2108,6890
202,2094,1250
208,2221,10715
209,2254,3541
213,2080,10892
215,2292,10933
216,2273,1875
221,1386,11205
225,1377,11289
228,2421,11352
233,1192,11352
236,2483,11514
256,2607,10739
259,2637,9182
263,2678,12028
264,2678,12029
269,2706,12170
271,2738,12320
272,2740,1458
273,2403,7159
276,2760,10332
277,2741,12407
282,2347,12508
287,2827,12577
289,2836,9182
291,2851,12664
292,2851,12665
293,2861,6457
294,2861,12701
296,2869,3900
297,2870,8867
307,3000,13080
308,3011,1250
323,3085,3900
334,3164,11205
337,3203,13749
352,3309,14301
355,3321,1250
413,3582,15461
420,2243,9466
