"montajeid","pelicula_id","personajeid"
62,48,880
63,48,869
64,48,870
65,49,785
66,50,320
67,50,927
68,51,942
69,52,962
70,53,979
71,53,727
72,54,982
73,55,273
74,56,1021
75,56,1007
79,59,273
80,60,273
81,60,1070
82,61,442
83,62,92
84,63,1106
85,64,1133
87,66,442
91,70,1133
92,70,442
100,75,1317
124,90,699
125,90,1535
129,94,1124
144,108,1824
151,114,320
160,123,1059
161,123,2038
164,125,273
165,126,2067
166,127,979
167,127,2074
168,128,2097
170,130,442
173,132,1106
176,135,442
177,136,2198
178,136,2199
179,137,1070
181,139,2251
182,140,785
183,141,395
187,144,92
188,145,2307
190,147,395
191,149,2398
192,149,2394
193,150,2406
195,152,2420
197,154,2439
200,157,273
284,242,442
286,244,1059
287,244,3348
288,245,3352
289,245,7732
297,253,273
298,253,1556
310,262,3458
311,262,1973
332,274,3553
333,274,3551
349,289,3677
357,297,1667
358,299,1070
359,299,428
387,321,3888
393,324,1036
412,339,2074
416,343,2198
417,343,2199
418,344,1059
420,345,395
431,358,3999
432,358,273
435,361,1341
463,396,501
464,397,273
476,482,354
477,482,4280
552,635,4373
553,635,4293
554,635,5172
561,641,1059
598,731,395
599,731,273
642,779,2466
643,780,1070
645,791,2074
646,791,395
647,789,1059
696,849,6096
704,786,3272
705,786,6139
713,870,273
734,888,6250
735,888,3969
736,890,6161
737,890,1891
738,890,979
739,890,6259
740,890,1059
751,898,442
779,949,395
845,1050,3423
874,778,395
901,1171,6974
902,1176,4093
903,1176,6277
904,1176,6276
907,1179,979
908,1179,1432
921,1171,3953
953,783,1341
954,783,1342
977,753,2558
978,1261,6068
979,1261,1021
980,1261,1007
1030,782,4102
1031,782,1006
1044,1344,3888
1054,1382,273
1064,1390,1824
1065,1391,889
1066,1392,3677
1067,792,7737
1068,785,2199
1069,785,2198
1070,781,999
1071,1393,7743
1075,1395,3352
1091,1429,442
1152,1200,7073
1153,1200,273
1181,1551,962
1221,1378,442
1248,1664,273
1249,1664,8636
1254,1379,395
1277,1690,442
1295,1380,889
1296,1380,1133
1301,1709,785
1303,1497,395
1304,1497,2074
1305,1667,1070
1315,1717,8818
1316,1717,1059
1347,1753,4234
1348,1753,9066
1369,1769,92
1370,1770,9144
1403,1770,1876
1404,1496,3352
1413,1811,3473
1414,1811,3374
1433,1837,4413
1442,1846,9430
1504,1391,9654
1561,1982,889
1574,1991,1466
1594,2013,273
1595,2013,4102
1596,1982,395
1615,2048,122
1616,2048,1260
1620,2038,926
1642,1205,2424
1663,2094,395
1665,2054,4234
1683,2108,11598
1684,2108,10337
1705,2134,3870
1706,2134,10445
1707,2134,10446
1708,2135,4102
1723,2156,1466
1737,2172,5654
1738,2172,1299
1763,1386,442
1770,2053,2466
1771,2224,10735
1772,2224,5557
1798,2242,395
1799,2243,1106
1800,2243,1006
1812,2254,7272
1824,2273,1658
1825,2273,1059
1826,2273,1667
1830,2080,2161
1831,2080,10891
1842,2292,9266
1876,2335,1595
1877,2335,11060
1878,2340,9524
1906,2377,442
1907,2377,1133
1911,2381,1070
1912,2381,8989
1913,2381,997
1934,1377,2439
1935,1377,442
1936,2403,3553
1937,2403,395
1945,2421,1466
1967,1192,8408
1973,2475,3677
1996,2520,2466
2001,2525,2074
2028,2562,273
2029,2563,7221
2030,2564,273
2033,2566,2037
2054,2580,11781
2063,2588,11782
2072,2603,7583
2075,2169,1070
2080,2607,10736
2083,2609,11850
2090,2211,11874
2109,2637,6269
2110,2637,11952
2131,2678,5911
2132,2678,1006
2147,2704,2466
2148,2706,10696
2153,2715,3352
2154,2715,442
2162,2109,2466
2173,2738,2398
2174,2741,395
2175,2744,1667
2179,2760,12366
2200,2781,1133
2203,2785,8314
2204,2788,6096
2205,2788,12498
2209,2347,3572
2235,2827,11590
2244,2836,442
2245,2837,4102
2247,2827,12622
2254,2851,9245
2262,2861,273
2271,2869,1059
2272,2870,10754
2274,2876,4102
2275,2877,12764
2284,2885,1106
2287,2833,395
2290,2853,169
2299,2897,4234
2301,2899,9020
2302,2900,12873
2303,2900,3458
2320,2914,1070
2322,2787,10891
2323,2916,1466
2363,3000,13078
2364,3000,9401
2369,2483,8417
2372,3009,395
2373,3011,889
2374,3010,395
2375,3010,3686
2377,3014,6139
2385,3021,1036
2386,3021,4234
2387,3022,9144
2413,3048,868
2414,3048,13241
2415,3048,8944
2428,3060,1788
2429,3061,2198
2430,3061,2199
2445,3079,10754
2453,3085,4234
2467,3100,13432
2485,3123,1466
2486,3124,13539
2488,3126,273
2489,3126,92
2512,3150,8989
2531,3164,3458
2536,3169,13736
2537,3172,1070
2568,3203,1070
2603,2647,11940
2657,3309,7282
2666,3321,14377
2691,1170,3686
2708,3316,395
2709,3316,1973
2740,3419,4054
2741,3419,14781
2742,3419,14782
2754,3428,4100
2781,3428,6673
2782,3428,14952
2789,3458,9504
2790,3458,889
2909,3582,15460
