"productor","pelicula_id","personajeid"
72,48,877
73,49,898
74,49,899
75,49,900
77,50,925
78,51,162
79,52,959
80,52,960
81,53,977
82,54,991
83,54,992
84,54,993
85,55,899
86,55,1001
87,56,1014
90,59,898
93,62,1099
94,62,899
95,63,1121
96,63,1107
97,63,1106
98,63,1131
99,63,1132
100,64,1139
103,66,1175
134,90,699
135,90,1531
144,94,1125
154,75,1295
155,75,1315
157,61,1084
158,61,7261
169,108,1363
175,114,193
184,123,2032
185,125,1069
186,126,2060
187,126,2061
188,126,2062
189,128,1260
191,130,2116
195,132,1121
196,132,1107
197,135,2184
198,135,2185
199,136,2204
200,137,2214
201,137,538
202,137,2219
203,137,658
204,137,1581
208,139,2246
209,139,2247
210,139,1312
211,140,73
212,140,2269
213,140,2275
214,141,899
217,144,179
218,145,969
220,147,487
221,147,1514
222,147,1522
223,147,2357
228,149,2396
229,149,2397
230,149,2394
231,150,2407
233,152,969
236,154,2436
237,154,2442
238,154,2443
321,244,969
322,244,698
323,244,3336
324,244,392
325,244,3351
326,244,3337
327,244,3338
328,245,969
329,245,7730
337,253,1295
338,253,3409
339,253,1547
340,253,1561
347,262,1973
384,289,3680
385,289,3681
386,289,3682
395,299,1582
396,299,658
397,299,3774
422,321,3882
423,321,3883
424,321,3884
425,324,3900
446,339,1420
448,343,2198
449,343,3967
450,345,2385
461,361,778
462,361,2095
509,396,4197
510,396,4198
511,397,28
512,397,210
527,482,4279
528,482,1611
632,603,4457
633,603,4499
660,635,969
661,635,5173
662,635,1143
670,641,5196
671,641,1521
758,779,1295
759,780,1582
760,780,658
763,787,5912
764,789,5925
765,789,5926
766,789,5927
767,789,5928
769,791,3688
770,791,5886
827,786,6141
828,786,3869
836,870,899
856,888,6250
858,890,2032
859,890,1891
860,890,6258
872,898,6292
1036,778,899
1052,781,6899
1053,781,6900
1054,781,997
1079,1170,6971
1080,1171,7082
1083,1176,4093
1084,1176,6276
1106,1171,1317
1107,1171,5542
1111,1171,7124
1112,1171,7125
1145,1236,7289
1146,1236,7288
1172,1261,1007
1173,1261,237
1174,1261,7369
1175,1261,7370
1176,1261,7371
1177,1261,7372
1178,1261,7373
1179,1261,7374
1180,1261,7375
1181,1261,7376
1182,1261,7377
1243,1344,7628
1262,1378,969
1270,1390,7725
1271,245,4350
1272,1391,899
1273,1392,3669
1274,792,487
1275,792,7733
1276,792,1953
1277,785,2198
1283,1395,10131
1306,1429,7824
1362,1497,1407
1366,787,8086
1378,1200,8109
1459,1378,8480
1460,1378,8481
1461,1378,8489
1462,1378,8490
1463,1378,8491
1472,1179,7621
1490,1664,6976
1491,1664,3461
1492,1664,1973
1540,1380,899
1541,1380,1001
1542,1380,1243
1547,1709,33
1548,1709,21
1549,1709,8857
1551,1667,1582
1562,1717,1699
1590,791,2074
1591,791,543
1592,1753,5177
1614,1769,9135
1615,1769,2095
1616,1769,1699
1617,1769,9136
1618,1770,9141
1656,1811,3374
1657,1811,9271
1743,1391,1001
1744,1391,8490
1811,1982,899
1812,1982,1001
1850,870,1001
1859,2038,926
1860,2038,10093
1861,2038,10094
1865,1395,2036
1869,2048,1260
1872,2038,1762
1875,2053,1295
1906,2094,899
1907,2094,1001
1908,2094,10272
1919,2109,10341
1934,2134,3870
1953,2156,1878
1971,1378,3337
1975,2169,1582
1980,2172,5654
2008,2218,899
2009,2218,898
2014,1386,724
2020,2053,3380
2021,2053,3388
2022,2224,5557
2041,2242,4198
2042,2242,3471
2043,2243,1006
2044,2243,10786
2045,2243,9466
2075,2080,923
2076,2080,320
2077,2080,10888
2114,2335,11063
2116,2340,11071
2128,2347,5563
2151,2377,1001
2152,2377,899
2155,2168,11174
2156,2168,11175
2157,2168,11176
2158,2168,11177
2159,2168,1906
2160,2168,11178
2165,2381,1001
2166,2381,899
2168,2377,1133
2169,2377,1243
2401,2760,4135
2205,2475,969
2208,2483,6763
2226,2520,899
2227,2520,1001
2230,2524,11596
2231,2524,11597
2232,2524,2053
2233,2525,5557
2257,2562,2267
2258,2563,1419
2259,2563,11690
2260,2563,11692
2261,2564,6971
2264,2566,7565
2280,2580,4451
2281,2580,7129
2282,2580,1407
2294,2588,899
2295,2588,1001
2304,2603,7475
2305,2169,658
2310,2607,9681
2313,2609,3670
2318,2211,11871
2319,2211,11872
2320,2211,11873
2330,2647,11949
2331,2647,11950
2332,2637,1752
2333,2637,900
2334,2637,5677
2371,2704,7584
2372,2706,5912
2373,2706,8086
2377,2715,4350
2378,2715,12204
2387,2109,10339
2402,2760,5129
2423,2781,1139
2424,2788,12496
2425,2788,12497
2426,2788,12498
2427,2788,1295
2456,2827,899
2457,2827,1001
2462,2833,7129
2464,2835,1582
2465,2836,8988
2466,2836,2416
2467,2836,8481
2468,2836,8480
2469,2836,12605
2470,2837,1227
2471,2837,4290
2472,2836,969
2493,2870,8497
2494,2870,12753
2495,2870,12754
2499,2876,12758
2500,2876,4289
2501,2876,12759
2502,2876,9141
2504,2876,12765
2505,2876,4061
2506,2876,12766
2519,2885,12795
2527,2853,692
2536,2897,4198
2540,2899,12869
2541,2900,12872
2561,2914,1582
2562,2914,658
2565,2787,320
2566,2787,10046
2567,2787,12937
2568,2787,12938
2569,2787,12939
2570,2916,12954
2621,3009,1752
2623,3010,11597
2624,3010,11596
2625,3011,899
2628,3014,13140
2629,3014,969
2630,3014,2542
2631,3014,3384
2636,3021,4198
2637,3022,13852
2661,3048,598
2678,3060,3899
2693,3079,1295
2694,3079,898
2695,3079,13307
2696,3079,13308
2697,3079,13309
2698,3079,13310
2709,3100,7565
2710,3100,536
2725,3120,13525
2726,3120,13526
2727,3120,13527
2728,3120,13528
2729,3120,13529
2732,3123,1025
2733,3123,729
2734,3124,13539
2736,3126,3900
2737,3126,3864
2738,3126,6780
2759,3150,899
2760,3150,1001
2761,3150,13664
2762,3150,13665
2763,3150,13666
2780,3164,3458
2784,3169,12513
2786,3172,1582
2787,3172,13742
2788,3172,13743
2789,3172,658
2790,3172,10567
2819,3203,1582
2895,3309,14303
2896,3309,14304
2897,3309,14302
2898,3309,7282
2899,2899,9020
2911,3321,899
2912,3321,14372
2913,3321,14373
2914,3321,13308
2915,3321,13309
2916,3321,13660
2917,3321,14374
2918,3321,14375
2919,3321,10522
2920,3321,10521
2921,3321,14376
2957,3316,1973
2958,3316,3569
2959,3316,14621
2960,3316,14622
2961,3316,14623
2999,3419,14778
3000,3419,4051
3001,3419,14779
3039,3458,9814
3187,154,1521
3188,792,1521
