"productorasociado","pelicula_id","personajeid"
15,56,944
16,56,1017
17,56,1018
18,62,1100
19,62,1101
20,62,1102
21,63,1122
22,63,1130
23,64,1141
39,75,1700
40,61,1715
41,61,1716
43,61,1717
44,61,1718
45,61,1719
46,61,1720
47,61,1721
48,61,1722
49,61,1723
50,61,1724
51,61,1725
52,61,1726
53,61,1727
54,61,1728
55,61,1729
56,61,1730
57,61,1731
58,61,1078
59,108,1687
60,108,1828
61,108,692
62,70,1419
63,70,1875
64,125,34
65,128,2095
66,130,2117
67,130,1277
68,130,1017
69,130,976
70,145,2305
77,242,2
78,242,3322
79,244,1277
80,244,3350
86,253,3405
87,253,1560
88,253,3406
89,253,3407
90,253,3408
91,253,3412
94,297,539
95,321,1419
96,321,3879
97,321,3880
98,321,3881
101,358,3994
102,358,3995
103,358,3996
104,358,3997
105,358,3998
106,361,4027
107,361,134
111,641,5194
112,641,5195
118,780,5902
119,780,5903
123,898,6294
128,1170,898
132,782,7585
145,1378,8482
146,1378,8483
147,1378,8484
148,1378,8485
149,1664,8636
151,1667,1585
152,1667,900
153,1667,5897
154,1667,5903
155,1667,3411
161,1837,9387
162,1846,6673
163,1846,9871
165,2048,1264
173,2292,10680
174,2292,10934
176,2377,10712
181,1377,11447
193,2566,801
198,2637,1699
199,2637,9135
200,2637,2095
206,2706,900
207,2738,10384
227,3010,13128
244,2899,4350
245,2899,9708
