"productorejecutivoid","pelicula_id","personajeid"
73,48,869
74,48,870
75,50,320
76,50,923
77,50,924
78,52,616
79,53,727
80,53,969
81,54,982
82,55,1000
83,56,1007
84,56,1016
90,59,898
91,60,1069
92,61,1074
93,61,1084
94,62,1099
95,62,899
96,63,1121
97,63,280
98,63,1069
99,64,1139
100,64,1140
103,66,1174
109,70,1139
110,70,1248
111,70,1249
147,90,1531
156,94,1125
157,94,1597
181,114,337
182,114,320
198,123,2032
199,123,2033
200,123,2034
201,123,2035
202,126,2059
203,126,2053
204,127,969
207,130,2116
208,130,2112
209,130,338
210,132,1130
211,132,2135
212,132,2136
213,132,2137
214,132,2138
215,132,2139
216,132,2140
217,132,1132
218,132,2141
221,136,2198
222,136,2199
223,136,2202
224,136,2203
225,136,1875
226,137,1582
228,139,2244
229,139,2245
230,140,21
232,145,2304
233,147,1521
234,147,2359
235,148,2360
236,148,1419
237,148,2386
238,148,2387
239,148,2388
240,152,2416
241,152,2419
248,157,749
273,242,1420
295,297,2059
296,297,3754
303,324,1788
304,324,1243
305,324,1030
316,344,2465
317,345,1
318,345,1906
319,358,3990
320,358,3993
321,361,2095
322,361,2542
363,780,1582
364,789,2465
365,789,5923
375,849,6097
376,849,1295
378,786,6140
379,898,6293
380,898,1752
381,898,4372
405,1050,6730
406,1098,1250
407,1098,6799
409,778,6844
410,778,6845
411,778,6846
420,1170,1117
421,1170,6970
423,1192,4198
430,783,2095
433,1261,237
444,782,7584
445,782,1439
454,1382,536
455,1382,7565
456,1382,1295
477,1551,1521
481,1200,7073
488,1179,6996
489,1179,1432
494,1664,6976
496,1379,1489
497,1379,8647
498,1379,1521
503,1380,6844
504,1380,6846
505,1380,6845
508,1496,4350
509,1709,1687
510,1709,8857
511,1709,2357
512,1709,243
517,1667,658
518,1667,1582
528,1393,9131
529,1393,1227
530,1393,7740
531,1393,9138
537,1811,3374
538,1811,9271
547,1837,9386
549,1846,1232
550,1846,9431
551,1846,1810
554,1391,6844
555,1391,6845
556,870,6844
568,2013,10014
569,2013,1227
570,1982,6844
571,1982,6845
574,2037,2360
576,1395,4198
577,949,1869
582,1205,7129
583,2054,1317
587,1382,10328
588,1382,10329
589,1382,1439
590,2108,10332
592,2109,10340
602,2156,1878
603,2156,1227
604,2156,4290
606,2094,10521
607,2094,10522
610,2168,969
611,2172,10561
625,2221,10712
631,2254,1948
639,2273,9135
640,2273,2095
641,2273,1699
644,2080,10889
645,2080,10890
648,2292,5912
649,2292,8086
654,2335,1488
673,2377,6845
679,1377,2436
680,1377,11285
681,1377,11286
689,2421,4198
707,2483,6763
714,2520,6845
715,2520,6844
716,2520,9077
717,2520,6846
718,2108,5573
738,2604,658
739,2604,1582
743,2637,1752
747,2637,900
758,2678,11873
759,2678,12024
776,2738,12319
777,2738,2394
778,2741,10426
779,2744,1619
780,2403,4374
781,2760,5129
804,2835,658
805,2835,1582
806,2835,900
807,2835,12603
808,2835,12604
809,2836,8988
810,2837,12617
811,2837,7129
816,2851,9682
817,2851,5190
819,2861,1857
827,2869,1059
828,2869,2084
829,2869,1143
832,2914,4028
833,2914,12928
834,2914,658
835,2914,10567
836,2916,1098
837,2916,12953
838,2916,9135
839,2916,1699
849,3000,13078
850,3000,1875
852,3009,1752
853,3009,6292
854,3009,1191
855,3011,6844
856,3011,9077
857,3011,6845
859,3014,13141
861,3014,6140
867,3048,693
868,3048,13242
871,3061,2198
872,3061,2199
873,3061,13262
874,3061,13263
888,3085,5117
889,3085,4234
890,3085,1317
909,3126,1875
916,3150,13660
917,3150,13661
918,3150,13662
919,3150,997
920,3150,13663
928,3164,11205
929,3164,4247
931,3169,2088
932,3172,13745
933,3172,13746
934,3172,13747
935,3172,13748
945,3203,658
944,3022,7615
946,3203,900
947,3203,13857
962,3203,1582
968,2647,1800
967,2647,11940
977,2785,8314
1034,3428,14832
1035,3428,14833
