"sonidoid","pelicula_id","personajeid"
52,48,883
53,49,904
54,50,931
55,52,904
56,53,758
57,54,996
58,55,883
59,56,1023
62,60,91
63,61,1092
64,61,1093
65,62,91
66,63,964
67,64,1143
70,66,964
78,75,758
96,90,1536
102,94,1598
121,108,1825
122,108,1826
123,108,63
133,114,153
143,123,944
144,125,244
145,125,91
146,126,2073
147,127,244
148,127,2087
149,128,28
150,128,2087
151,130,2119
152,130,1143
154,132,964
157,135,368
158,136,2199
159,137,904
161,139,2253
162,140,2119
163,141,63
166,144,2290
167,145,63
168,147,63
169,148,244
170,149,1023
171,150,2403
172,150,2404
174,152,2422
176,154,1536
260,242,63
261,244,2119
262,245,1092
271,253,28
277,262,2413
278,262,2087
297,274,3553
314,289,758
315,289,1311
316,289,3685
329,297,3758
330,297,3759
356,321,3889
357,321,758
359,324,1311
360,324,1143
376,339,244
380,343,2199
381,344,3418
382,344,1143
383,345,244
384,345,1196
388,358,4008
389,358,4009
390,358,4010
416,397,944
426,482,153
638,779,28
639,789,1143
640,789,3418
643,791,1196
681,849,6095
687,786,368
696,870,1143
711,888,6250
712,888,1143
714,890,904
721,898,758
756,949,1143
806,1050,1143
827,778,63
844,1170,6972
846,1176,6275
848,731,758
849,731,2119
850,731,6995
851,731,368
852,1179,883
868,1171,7034
887,783,368
908,753,2558
909,1261,6563
942,1344,7629
953,1382,28
958,1390,1143
960,1395,3475
984,127,1196
1005,1392,758
1006,1392,1311
1011,787,926
1028,792,8211
1031,1551,63
1044,1200,8345
1045,1200,3475
1046,1200,2087
1047,785,2199
1062,1378,2422
1063,1378,1143
1091,1664,2413
1092,1379,63
1110,1690,1615
1111,1690,1143
1122,1380,2087
1128,1709,8858
1130,1497,1196
1131,1497,2087
1132,1667,904
1149,1753,9065
1163,1393,9139
1164,1770,6972
1186,1395,2087
1187,1496,1092
1189,1769,758
1190,1769,1143
1198,1811,9295
1199,1811,3990
1200,1811,368
1201,1811,7729
1220,1837,9390
1229,1846,7613
1273,1391,2087
1323,1717,6119
1329,1991,4226
1348,2013,1196
1349,2013,2087
1351,1982,2087
1352,870,3476
1353,870,153
1372,1395,6266
1373,1395,8711
1376,2048,8858
1378,2038,10150
1381,2054,1143
1393,1205,8730
1420,2108,10336
1421,2109,758
1422,2109,443
1437,2134,3870
1438,2135,8858
1439,2135,2087
1455,2094,63
1462,2172,2087
1484,2218,2087
1492,1386,153
1496,2053,10730
1497,2053,10731
1498,2134,139
1499,2134,10733
1500,2134,418
1501,2134,10734
1523,2242,2413
1524,2242,2087
1532,2254,6663
1549,2273,10874
1550,2273,153
1556,2080,63
1559,2292,6791
1588,2335,5600
1589,2340,8686
2347,3458,3475
2348,3458,12830
1592,2340,11072
1610,2168,63
1611,2381,2087
1619,1377,10336
1620,2403,2087
1621,2403,1888
1626,2421,2413
1627,2421,1311
1628,2421,3475
1630,2421,2087
1644,1192,2413
1653,2483,10230
1654,2483,11517
1679,2525,1196
1680,2525,4453
1681,2525,2087
1699,2562,6920
1700,2562,10730
1701,2563,11695
1702,2564,758
1705,2566,1196
1712,2580,1344
1716,2588,11783
1727,2603,11805
1735,2607,11840
1737,2609,2284
1738,2609,11849
1744,2211,8653
1745,2211,4314
1758,2647,7613
1759,2637,1196
1778,2678,12037
1779,2678,3529
1799,2704,2119
1805,2715,1092
1822,2738,12321
1823,2740,821
1824,2740,12037
1825,2741,12328
1826,2741,12408
1827,2741,11987
1828,2741,11805
1832,2760,443
1833,2760,653
1839,2741,12409
1840,2741,10655
1841,2741,4000
1850,2781,12472
1851,2785,6538
1855,2347,1311
1878,2836,1143
1879,2837,1196
1880,2836,2422
1881,2836,10731
1888,2851,12344
1895,2861,758
1904,2869,1143
1905,2869,5875
1906,2869,153
1907,2869,368
1908,2869,3475
1909,2870,10168
1910,2870,12752
1913,2876,11833
1914,2877,12764
1915,2877,12767
1926,2833,2087
1929,2853,12830
1942,2916,12960
1973,2483,1792
1974,2483,904
1976,3009,63
1979,3011,63
1980,3014,2403
1981,3014,3889
1982,3010,1311
1983,3010,2087
1988,1982,904
1989,3021,2087
1990,3021,2413
1991,3021,3476
2015,3048,4226
2016,3048,13239
2026,3060,1143
2027,3060,3475
2028,3061,2199
2041,3079,9139
2048,3085,2280
2063,3100,13433
2087,3123,5876
2088,3124,11642
2089,3126,1792
2103,2706,6791
2118,3164,2087
2123,3169,13737
2124,3172,5985
2125,3172,904
2145,3022,153
2146,3022,2087
2147,3203,904
2162,53,5876
2190,2647,13439
2234,3309,14302
2235,2899,11585
2256,3321,63
2288,3316,758
2289,3316,1196
2313,3419,14783
2320,3428,14834
2321,3428,13218
2349,3458,8772
2477,2243,15555
